name,price,image,category,franchise
"""ROWDY"" RODDY PIPER - WWE",6.5,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/75101_WWE_RowdyRoddyPiper_POP_GLAM-WEB.png?v=1705506753,POP!,"""ROWDY"""
"""ROWDY"" RODDY PIPER - WWE: HALL OF FAME",16.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/74602_WWE_RowdyRoddyPiper_HoF__POP_GLAM-WEB.png?v=1742569471,POP!,"""ROWDY"""
001 (VAPORIZING) - STRANGER THINGS,9.5,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/78310_StrangerThings_001Vaporized_POP_GLAM-WEB.png?v=1721299476,POP!,001
10 PACK VARIETY POP! STAND BASES,6.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/products/10PackStands_GLAM_Web.png?v=1603885554,POP!,10
10TH ANNIVERSARY BAYMAX ACCORDION WALLET - BIG HERO 6,28.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/WDWA3129-LFDISNEYBIGHERO610THANNIVERSARYBAYMAXACCORDIONWALLET00002_16db3948-64b2-40ff-a38c-b2412b61af5b.png?v=1723192848,LOUNGEFLY,10TH
10TH ANNIVERSARY BAYMAX MINI BACKPACK - BIG HERO 6,90.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/WDBK3738-LFDISNEYBIGHERO610THANNIVERSARYBAYMAXMINIBACKPACK00002_eab1f8b1-5430-4d7b-90fb-1a44284853df.png?v=1723192828,LOUNGEFLY,10TH
50TH ANNIVERSARY METALLIC GOLD MINI BACKPACK - HELLO KITTY,80.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/SANBK0549-LFSANRIO50THANNIVERSARYMETALLICGOLDMINIBKPK0081.png?v=1728648321,LOUNGEFLY,50TH
65TH ANNIVERSARY BARBIE,8.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/82778a_Barbie_Barbie65thAnniversary_POP_GLAM-WEB.png?v=1728656527,POP!,65TH
"7"" HERO CHAO - SONIC THE HEDGEHOG PLUSH",13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/HeroChaoPlush_hi-res.png?v=1747130787,PLUSH,"7"""
"7"" LIGHT FURY - HOW TO TRAIN YOUR DRAGON 2",13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/81182_HTTYD_LightFury_Plush-GLAM-WEB.png?v=1718206776,PLUSH,"7"""
